y_tri,y_squ,y_rnd
0,0,0.197657741360451
0,0,0.146649772344123
0,0,0.146176396640838
0,0,0.075035044949893
0,0,0.05087584015366
0,0,0.0927410347667971
0,0,0.124050071762888
0,0,0.0908504980316963
0,0,0.0910105962751171
0,0,0.136669241783518
0,0,0.0665547692331247
0,0,0.00351435359964733
0,0,0.0144686316054371
0,0,0.0404868347785763
0,0,0.0960985344055961
0,0,0.152658643831472
0,0,0.156623411606888
0,0,0.145043276567534
0,0,0.168984358648826
0,0,0.159726869945014
0,0,0.183382373142695
0,0,0.193506853338192
0,0,0.252999732686345
0,0,0.218093774541771
0,0,0.159270369118108
0,0,0.113558048003459
0,0,0.140370085154666
0,0,0.152658865643413
0,0,0.22125980540958
0,0,0.21306981527211
0,0,0.145796426250553
0,0,0.0993508689465635
0,0,0.0936527617047059
0,0,0.0637304950356481
0,0,0.137696694330643
0.0235690235690235,1,0.203939163879701
0.0909090909090908,1,0.249404557858455
0.158249158249158,1,0.174439805997658
0.225589225589225,1,0.204388909143414
0.292929292929293,1,0.204910168266436
0.36026936026936,1,0.197439681669238
0.427609427609427,1,0.233587002519417
0.494949494949495,1,0.279384562881405
0.562289562289562,1,0.225311065400214
0.62962962962963,1,0.216852743263689
0.696969696969697,1,0.140944414173242
0.764309764309764,1,0.1255879979628
0.831649831649832,1,0.160283847595128
0.898989898989899,1,0.172523480026314
0.966329966329966,1,0.178008650898283
0.966329966329966,1,0.162565331265966
0.898989898989899,1,0.206673537618118
0.831649831649832,1,0.269788377243223
0.764309764309764,1,0.317181903222143
0.696969696969697,1,0.366840037008791
0.62962962962963,1,0.311534571209728
0.562289562289562,1,0.303011898407968
0.494949494949495,1,0.359515470382068
0.427609427609428,1,0.367352137832642
0.36026936026936,1,0.382502521054492
0.292929292929293,1,0.418195541733913
0.225589225589225,1,0.405282923626836
0.158249158249158,1,0.38127639549566
0.0909090909090907,1,0.319049921830752
0.0235690235690236,1,0.275465987974235
0,0,0.228108423778404
0,0,0.290122236565017
0,0,0.36434618744757
0,0,0.422978129519385
0,0,0.394686304322526
0,0,0.405471782793917
0,0,0.465465647316773
0,0,0.47559226861935
0,0,0.544482459569948
0,0,0.49145376953322
0,0,0.443897097296419
0,0,0.453521800584661
0,0,0.517220230552988
0,0,0.578753866260288
0,0,0.534691548952839
0,0,0.495700721205727
0,0,0.565066328030465
0,0,0.499207111628805
0,0,0.565805496662321
0,0,0.576343621076596
0,0,0.596682676720786
0,0,0.541375942001044
0,0,0.501413440924909
0,0,0.50677701920965
0,0,0.446275551693672
0,0,0.448428025257029
0,0,0.383437307855672
0,0,0.335226812464374
0,0,0.325394804663086
0,0,0.29856539939783
0,0,0.288926201936316
0,0,0.254479957808563
0,0,0.253730586788652
0,0,0.314190079035007
0,0,0.310799334950931
0,0,0.279608984952872
0,0,0.285400845133938
0,0,0.334617383987601
0,0,0.269847531690218
0,0,0.343960945322808
0,0,0.355385813137508
0,0,0.277856783291775
0,0,0.26163089927259
0,0,0.316628748846156
0,0,0.369345762257262
0,0,0.31504751059153
0,0,0.359635140370966
0,0,0.432495975799533
0,0,0.409084560419498
0,0,0.405963548912216
0,0,0.425575984472588
0,0,0.428009581262433
0,0,0.501908641072165
0,0,0.438059576623867
0,0,0.499187203546026
0,0,0.476934464359466
0,0,0.518536059923205
0,0,0.493704184665378
0,0,0.533185446018869
0,0,0.599475003190105
0,0,0.651209342671044
0,0,0.706102829968112
0,0,0.71011872849389
0,0,0.673553731014747
0,0,0.743073077648952
0,0,0.766888543578273
0,0,0.716413249505708
0,0,0.747244506559225
0,0,0.684619099690161
0,0,0.659409325593087
0.0235690235690235,1,0.642841833515209
0.0909090909090908,1,0.639477189713222
0.158249158249158,1,0.706568877757832
0.225589225589225,1,0.710440390019038
0.292929292929293,1,0.770168728902631
0.36026936026936,1,0.837158116586491
0.427609427609427,1,0.793308993599257
0.494949494949495,1,0.755900706119834
0.562289562289562,1,0.755858818228269
0.62962962962963,1,0.764485846179642
0.696969696969697,1,0.748552697046103
0.764309764309764,1,0.696912876058023
0.831649831649832,1,0.714446466783285
0.898989898989899,1,0.719964469904245
0.966329966329966,1,0.695306626806456
0.966329966329966,1,0.70036457033897
0.898989898989899,1,0.702808784671323
0.831649831649832,1,0.649205018218245
0.764309764309764,1,0.714727179031582
0.696969696969697,1,0.775253718986471
0.62962962962963,1,0.73027473008836
0.562289562289562,1,0.716657975832469
0.494949494949495,1,0.769227417227008
0.427609427609428,1,0.788013978881787
0.36026936026936,1,0.779727604707909
0.292929292929293,1,0.833379002932156
0.225589225589225,1,0.832449443234665
0.158249158249158,1,0.887245961997393
0.0909090909090907,1,0.860567209640068
0.0235690235690236,1,0.876067804469388
0,0,0.86430952144321
0,0,0.814413229497758
0,0,0.770833664310593
0,0,0.810427100966509
0,0,0.849603326854953
0,0,0.917875152470161
0,0,0.911036794597085
0,0,0.934132305164599
0,0,1
0,0,0.926701663137558
0,0,0.965473154341653
0,0,0.89772568094183
0,0,0.858658979913051
0,0,0.83125853960008
0,0,0.893831677033527
0,0,0.894460273157406
0,0,0.89399305460346
0,0,0.819076359595615
0,0,0.744028359824122
0,0,0.758560629631821
0,0,0.702348000174392
0,0,0.629738859732267
0,0,0.606052582618462
0,0,0.591880364613945
0,0,0.6079761386589
0,0,0.57811054147164
0,0,0.540816727892915
0,0,0.533926402675823
0,0,0.572697631078633
0,0,0.56387101674928
0,0,0.60265234785921
0,0,0.615456950807739
0,0,0.546331171892024
0,0,0.6105661144082
0,0,0.621218380843824
0,0,0.547240636252047
0,0,0.523260492000257
0,0,0.498730793249251
0,0,0.448966574629956
0,0,0.410790643664781
0,0,0.373195993446143
0,0,0.434907018260099
0,0,0.377360332092127
0,0,0.337272347609696
0,0,0.277028612714214
0,0,0.342862819471243
0,0,0.361832741995813
